windowWidth,twoChoiceRunTime,workerId,redTask,curId,screenHeight,blueTask,curTime,windowHeight,phase,userAgent,screenWidth,blockTime,block,middleDeckId,highRewardPoints,cuedRt,choiceCode,rightDeckPoints,leftDeckSwitch,chosenDeckLocation,rightDeckId,responseCount,rtThreshold,rsi,rightDeckSwitch,experimentRunTimeMins,currentPoints,stimColor,leftDeckPoints,middleDeckSwitch,condition,task,choiceRt,stimulus,leftDeckId,transition,middleDeckPoints,phaseRunTimeMins,trial,timeout,error,block
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,416,decoyNearHard,49,82,left,easy,1,679,500,18,25,264,red,86,78,nearHighDemand,mag,3778,6,decoyNearHard,switch,86,1,6,0,1,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,-999,decoyNearHard,49,82,left,easy,2,679,500,18,25,264,red,86,78,nearHighDemand,mag,3778,6,decoyNearHard,repeat,86,1,6,1,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,393,decoyNearEasy,55,23,left,easy,1,679,500,23,25,264,red,53,83,nearLowDemand,mag,1819,3,decoyNearEasy,repeat,92,2,7,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,484,decoyNearEasy,55,23,left,easy,2,679,500,23,25,291,blue,53,83,nearLowDemand,par,1819,6,decoyNearEasy,switch,92,2,7,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,easy,87,466,decoyNearEasy,86,23,left,hard,1,679,500,83,25,317,blue,47,23,nearLowDemand,par,3523,2,decoyNearEasy,repeat,49,2,8,0,1,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,easy,87,537,decoyNearEasy,86,23,left,hard,2,679,500,83,25,317,blue,47,23,nearLowDemand,par,3523,2,decoyNearEasy,repeat,49,2,8,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,541,neutral,42,19,right,neutral,1,679,500,83,25,341,red,47,79,neutral,mag,3981,3,easy,switch,84,2,9,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,557,neutral,42,19,right,neutral,2,679,500,83,25,362,blue,47,79,neutral,par,3981,2,easy,switch,84,2,9,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,easy,87,520,neutral,18,81,right,neutral,1,679,500,84,25,383,red,86,21,neutral,mag,2537,3,hard,switch,49,2,10,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,easy,87,373,neutral,18,81,right,neutral,2,679,500,84,25,392,blue,86,21,neutral,par,2537,9,hard,switch,49,2,10,0,1,1
